,Input1, Input2, Input3, Input4, Output
0,0.3675889328063241,0.11857707509881422,0.5375494071146245,0.4308300395256917,0.18823529411764706
1,0.1541501976284585,0.2766798418972332,0.4308300395256917,0.18181818181818182,0.09019607843137255
2,0.07509881422924901,0.4308300395256917,0.08300395256916997,0.06719367588932806,0.10588235294117647
3,0.11857707509881422,0.18181818181818182,0.06719367588932806,0.09881422924901186,0.23137254901960785
4,0.2766798418972332,0.08300395256916997,0.09881422924901186,0.22529644268774704,0.5058823529411764
5,0.5375494071146245,0.06719367588932806,0.22529644268774704,0.5019762845849802,0.5058823529411764
6,0.18181818181818182,0.22529644268774704,0.5019762845849802,0.22134387351778656,0.10588235294117647
7,0.08300395256916997,0.5019762845849802,0.22134387351778656,0.09881422924901186,0.07450980392156863
8,0.09881422924901186,0.22134387351778656,0.06719367588932806,0.08695652173913043,0.1803921568627451
9,0.22529644268774704,0.09881422924901186,0.08695652173913043,0.17391304347826086,0.4392156862745098
10,0.5019762845849802,0.06719367588932806,0.17391304347826086,0.43478260869565216,0.5647058823529412
11,0.5019762845849802,0.08695652173913043,0.43478260869565216,0.5612648221343873,0.28627450980392155
12,0.22134387351778656,0.17391304347826086,0.5612648221343873,0.28063241106719367,0.11764705882352941
13,0.09881422924901186,0.43478260869565216,0.28063241106719367,0.11067193675889328,0.0784313725490196
14,0.06719367588932806,0.5612648221343873,0.11067193675889328,0.07114624505928854,0.07450980392156863
15,0.08695652173913043,0.28063241106719367,0.07114624505928854,0.06719367588932806,0.1450980392156863
16,0.17391304347826086,0.11067193675889328,0.06719367588932806,0.1383399209486166,0.3607843137254902
17,0.5612648221343873,0.06719367588932806,0.3557312252964427,0.5928853754940712,0.36470588235294116
18,0.28063241106719367,0.1383399209486166,0.5928853754940712,0.35968379446640314,0.1411764705882353
19,0.07114624505928854,0.5928853754940712,0.13438735177865613,0.07114624505928854,0.07058823529411765
20,0.06719367588932806,0.35968379446640314,0.07114624505928854,0.06324110671936758,0.11372549019607843
21,0.1383399209486166,0.13438735177865613,0.06324110671936758,0.1067193675889328,0.2784313725490196
22,0.3557312252964427,0.07114624505928854,0.1067193675889328,0.2727272727272727,0.5725490196078431
23,0.5928853754940712,0.06324110671936758,0.2727272727272727,0.5691699604743083,0.4588235294117647
24,0.13438735177865613,0.2727272727272727,0.45454545454545453,0.17391304347826086,0.09019607843137255
25,0.07114624505928854,0.5691699604743083,0.17391304347826086,0.08300395256916997,0.07058823529411765
26,0.06324110671936758,0.45454545454545453,0.08300395256916997,0.06324110671936758,0.08627450980392157
27,0.1067193675889328,0.17391304347826086,0.06324110671936758,0.07905138339920949,0.20392156862745098
28,0.2727272727272727,0.08300395256916997,0.07905138339920949,0.1976284584980237,0.5019607843137255
29,0.5691699604743083,0.06324110671936758,0.1976284584980237,0.4980237154150198,0.5568627450980392
30,0.17391304347826086,0.1976284584980237,0.5533596837944664,0.23715415019762845,0.10196078431372549
31,0.08300395256916997,0.4980237154150198,0.23715415019762845,0.09486166007905138,0.06666666666666667
32,0.06324110671936758,0.5533596837944664,0.09486166007905138,0.05928853754940711,0.07450980392156863
33,0.1976284584980237,0.09486166007905138,0.06719367588932806,0.1383399209486166,0.39215686274509803
34,0.4980237154150198,0.05928853754940711,0.1383399209486166,0.38735177865612647,0.6196078431372549
35,0.5533596837944664,0.06719367588932806,0.38735177865612647,0.616600790513834,0.33725490196078434
36,0.23715415019762845,0.1383399209486166,0.616600790513834,0.33201581027667987,0.12549019607843137
37,0.09486166007905138,0.38735177865612647,0.33201581027667987,0.11857707509881422,0.06666666666666667
38,0.05928853754940711,0.616600790513834,0.11857707509881422,0.05928853754940711,0.06666666666666667
39,0.06719367588932806,0.33201581027667987,0.05928853754940711,0.05928853754940711,0.10588235294117647
40,0.1383399209486166,0.11857707509881422,0.05928853754940711,0.09881422924901186,0.2823529411764706
41,0.616600790513834,0.05928853754940711,0.2766798418972332,0.6007905138339921,0.4627450980392157
42,0.05928853754940711,0.6007905138339921,0.16205533596837945,0.07114624505928854,0.058823529411764705
43,0.05928853754940711,0.45849802371541504,0.07114624505928854,0.05138339920948617,0.08235294117647059
44,0.09881422924901186,0.16205533596837945,0.05138339920948617,0.07509881422924901,0.1843137254901961
45,0.2766798418972332,0.07114624505928854,0.07509881422924901,0.17786561264822134,0.5019607843137255
46,0.6007905138339921,0.05138339920948617,0.17786561264822134,0.4980237154150198,0.5882352941176471
47,0.45849802371541504,0.07509881422924901,0.4980237154150198,0.5849802371541502,0.24705882352941178
48,0.16205533596837945,0.17786561264822134,0.5849802371541502,0.24110671936758893,0.09411764705882353
49,0.07114624505928854,0.4980237154150198,0.24110671936758893,0.08695652173913043,0.06274509803921569
50,0.05138339920948617,0.5849802371541502,0.08695652173913043,0.05533596837944664,0.06666666666666667
51,0.07509881422924901,0.24110671936758893,0.05533596837944664,0.05928853754940711,0.12941176470588237
52,0.17786561264822134,0.08695652173913043,0.05928853754940711,0.1225296442687747,0.3607843137254902
53,0.4980237154150198,0.05533596837944664,0.1225296442687747,0.3557312252964427,0.6509803921568628
54,0.5849802371541502,0.05928853754940711,0.3557312252964427,0.6482213438735178,0.37254901960784315
55,0.24110671936758893,0.1225296442687747,0.6482213438735178,0.3675889328063241,0.12941176470588237
56,0.08695652173913043,0.3557312252964427,0.3675889328063241,0.1225296442687747,0.06274509803921569
57,0.05533596837944664,0.6482213438735178,0.1225296442687747,0.05533596837944664,0.054901960784313725
58,0.05928853754940711,0.3675889328063241,0.05533596837944664,0.04743083003952569,0.08627450980392157
59,0.6482213438735178,0.04743083003952569,0.22134387351778656,0.5810276679841897,0.5372549019607843
60,0.3675889328063241,0.07905138339920949,0.5810276679841897,0.5335968379446641,0.19607843137254902
61,0.1225296442687747,0.22134387351778656,0.5335968379446641,0.18972332015810275,0.0784313725490196
62,0.05533596837944664,0.5810276679841897,0.18972332015810275,0.07114624505928854,0.058823529411764705
